"atg.t","atg.p","atg.invalid","atg.positive","atg","msd.t","msd.p","msd.invalid","msd.positive","msd","double_neg"
40.8,24332,0,0,21.22,27.76,24332,0,0,8.66,0
40.8,7063,0,0,18.31,27.76,7063,0,0,6.69,0
40.8,10654,0,0,20.24,27.76,10654,0,0,8.41,0
40.8,12385,0,0,21.72,27.76,12385,0,0,8.28,0
40.8,15737,0,0,20.18,27.76,15737,0,0,6.63,0
40.8,10566,0,0,19.85,27.76,10566,0,0,6.27,0
40.8,9575,0,0,20.52,27.76,9575,0,0,7.95,0
40.8,21687,0,0,20.68,27.76,21687,0,0,8.39,0
40.8,2969,0,0,18.68,27.76,2969,0,0,6.55,0
40.8,24536,0,0,20.95,27.76,24536,0,0,9.33,0
40.8,11368,0,0,19.46,27.76,11368,0,0,6.52,0
40.8,22454,0,0,20.84,27.76,22454,0,0,8.65,0
40.8,24716,0,0,18.54,27.76,24716,0,0,7.02,0
40.8,21818,0,0,20.76,27.76,21818,0,0,8.62,0
40.8,17135,0,0,18.76,27.76,17135,0,0,6.3,0
40.8,3259,0,0,17,27.76,3259,0,0,6.58,0
40.8,10048,0,0,18.53,27.76,10048,0,0,6.45,0
40.8,3179,0,0,19.04,27.76,3179,0,0,8.04,0
40.8,18771,0,0,20.21,27.76,18771,0,0,9.21,0
40.8,8168,0,0,19.48,27.76,8168,0,0,8.23,0
40.8,23409,0,0,20.44,27.76,23409,0,0,8.29,0
40.8,18592,0,0,22.05,27.76,18592,0,0,8.9,0
40.8,8180,0,0,19.78,27.76,8180,0,0,7.88,0
40.8,2764,0,0,19.19,27.76,2764,0,0,7.89,0
40.8,4409,0,0,19.18,27.76,4409,0,0,8.05,0
40.8,12837,0,0,20.45,27.76,12837,0,0,8.02,0
40.8,20317,0,0,20.8,27.76,20317,0,0,8.2,0
40.8,2107,0,0,18.74,27.76,2107,0,0,7.76,0
40.8,14499,0,0,21.92,27.76,14499,0,0,8.36,0
40.8,15346,0,0,21.43,27.76,15346,0,0,8.5,0
40.8,5970,0,0,18.31,27.76,5970,0,0,6.29,0
